"SA1_MAINCODE_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
"11904137501","102","Barton","1","New South Wales",0.1793
"11904137502","102","Barton","1","New South Wales",0.1232
"11904137503","102","Barton","1","New South Wales",0.1479
"11904137504","102","Barton","1","New South Wales",0.0885
"11904137505","102","Barton","1","New South Wales",0.081
"11904137506","102","Barton","1","New South Wales",0.1725
"11904137507","102","Barton","1","New South Wales",0.1315
"11904137508","102","Barton","1","New South Wales",0.8903
"11904137509","102","Barton","1","New South Wales",0.1398
"11904137510","102","Barton","1","New South Wales",0.126
"11904137511","102","Barton","1","New South Wales",0.1045
"11904137512","102","Barton","1","New South Wales",0.1242
"11904137513","102","Barton","1","New South Wales",0.1647
"11904137514","102","Barton","1","New South Wales",0.1186
"11904137515","102","Barton","1","New South Wales",0.2028
"11904137516","102","Barton","1","New South Wales",0.021
"11904137517","102","Barton","1","New South Wales",0.2795
"11904137518","102","Barton","1","New South Wales",0.1316
"11904137521","102","Barton","1","New South Wales",0.321
"11904137522","102","Barton","1","New South Wales",0.1048
"11904137523","102","Barton","1","New South Wales",0.0907
"11904137524","102","Barton","1","New South Wales",0.0733
"11904137525","102","Barton","1","New South Wales",0.0783
"11904137526","102","Barton","1","New South Wales",0.0839
"11904137527","102","Barton","1","New South Wales",0.0599
"11904137528","102","Barton","1","New South Wales",0.0813
"11904137529","102","Barton","1","New South Wales",0.0821
"11904137530","102","Barton","1","New South Wales",0.0666
"11904137531","102","Barton","1","New South Wales",0.1202
"11904137532","102","Barton","1","New South Wales",0.0969
"11904137533","102","Barton","1","New South Wales",0.0617
"11904137534","102","Barton","1","New South Wales",0.0793
"11904137535","102","Barton","1","New South Wales",0.0485
